Datum;Abfluss [m³/s];day;month;year;Hydro_Jahr;Jahreszeit;Monat;NQ;MNQ;MQ;MHQ;HQ
1951-03-11 00:00:00;1,825;11;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-12 00:00:00;2,211;12;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-13 00:00:00;2,254;13;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-14 00:00:00;2,464;14;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-15 00:00:00;2,357;15;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-16 00:00:00;2,237;16;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-17 00:00:00;2,979;17;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-18 00:00:00;3,85;18;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-19 00:00:00;4,48;19;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-20 00:00:00;4,699;20;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-21 00:00:00;3,615;21;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-22 00:00:00;3,487;22;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-23 00:00:00;3,12;23;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-24 00:00:00;2,96;24;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-25 00:00:00;2,975;25;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-26 00:00:00;2,813;26;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-27 00:00:00;3,849;27;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-28 00:00:00;3,498;28;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-29 00:00:00;3,249;29;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-30 00:00:00;3,052;30;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-03-31 00:00:00;2,992;31;3;1951;1950;Fruehling;3;0,62;1,34;2,7;9,21;12,71
1951-04-01 00:00:00;2,656;1;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-02 00:00:00;3,346;2;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-03 00:00:00;2,974;3;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-04 00:00:00;2,853;4;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-05 00:00:00;2,812;5;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-06 00:00:00;2,666;6;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-07 00:00:00;2,563;7;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
1951-04-08 00:00:00;2,164;8;4;1951;1951;Fruehling;4;0,62;1,34;2,7;9,21;12,71
