,Jahr,RSK_Fruehling,RSK_Sommer,RSK_Herbst,RSK_Winter,RSK_Fruehling_RCP8.5_Minimum,RSK_Fruehling_RCP8.5_Median,RSK_Fruehling_RCP8.5_Maximum,RSK_Fruehling_RCP4.5_Minimum,RSK_Fruehling_RCP4.5_Median,RSK_Fruehling_RCP4.5_Maximum,RSK_Fruehling_RCP2.6_Minimum,RSK_Fruehling_RCP2.6_Median,RSK_Fruehling_RCP2.6_Maximum,RSK_Sommer_RCP8.5_Minimum,RSK_Sommer_RCP8.5_Median,RSK_Sommer_RCP8.5_Maximum,RSK_Sommer_RCP4.5_Minimum,RSK_Sommer_RCP4.5_Median,RSK_Sommer_RCP4.5_Maximum,RSK_Sommer_RCP2.6_Minimum,RSK_Sommer_RCP2.6_Median,RSK_Sommer_RCP2.6_Maximum,RSK_Herbst_RCP8.5_Minimum,RSK_Herbst_RCP8.5_Median,RSK_Herbst_RCP8.5_Maximum,RSK_Herbst_RCP4.5_Minimum,RSK_Herbst_RCP4.5_Median,RSK_Herbst_RCP4.5_Maximum,RSK_Herbst_RCP2.6_Minimum,RSK_Herbst_RCP2.6_Median,RSK_Herbst_RCP2.6_Maximum,RSK_Winter_RCP8.5_Minimum,RSK_Winter_RCP8.5_Median,RSK_Winter_RCP8.5_Maximum,RSK_Winter_RCP4.5_Minimum,RSK_Winter_RCP4.5_Median,RSK_Winter_RCP4.5_Maximum,RSK_Winter_RCP2.6_Minimum,RSK_Winter_RCP2.6_Median,RSK_Winter_RCP2.6_Maximum
34,2003.0,,,,,8.60909090909091,9.795454545454545,11.09090909090909,9.154545454545454,9.781818181818181,10.545454545454545,9.127272727272727,9.945454545454545,11.363636363636363,5.1454545454545455,7.627272727272727,8.90909090909091,6.7,7.572727272727272,9.236363636363636,7.872727272727272,7.545454545454545,8.963636363636363,8.60909090909091,10.354545454545455,11.90909090909091,9.727272727272727,10.627272727272727,11.5,9.154545454545454,10.545454545454545,11.663636363636364,9.981818181818182,11.727272727272727,13.527272727272727,10.90909090909091,11.672727272727274,13.009090909090908,11.181818181818182,11.659090909090908,13.363636363636363
35,2004.0,,,,,8.531818181818181,9.784090909090908,11.151515151515152,9.107575757575757,9.76969696969697,10.575757575757576,9.078787878787878,9.942424242424243,11.43939393939394,5.042424242424243,7.662121212121212,9.015151515151516,6.683333333333334,7.6045454545454545,9.36060606060606,7.921212121212121,7.575757575757576,9.072727272727272,8.531818181818181,10.374242424242425,12.015151515151516,9.712121212121213,10.662121212121212,11.583333333333334,9.107575757575757,10.575757575757576,11.756060606060606,9.86969696969697,11.712121212121213,13.612121212121213,10.848484848484848,11.654545454545454,13.065151515151515,11.136363636363637,11.640151515151516,13.43939393939394
36,2005.0,,,,,8.454545454545455,9.772727272727273,11.212121212121213,9.06060606060606,9.757575757575758,10.606060606060606,9.030303030303031,9.93939393939394,11.515151515151516,4.9393939393939394,7.696969696969697,9.121212121212121,6.666666666666667,7.636363636363637,9.484848484848484,7.96969696969697,7.606060606060606,9.181818181818182,8.454545454545455,10.393939393939394,12.121212121212121,9.696969696969697,10.696969696969697,11.666666666666666,9.06060606060606,10.606060606060606,11.84848484848485,9.757575757575758,11.696969696969697,13.696969696969697,10.787878787878787,11.636363636363637,13.121212121212121,11.09090909090909,11.621212121212121,13.515151515151516
37,2006.0,,,,,8.377272727272727,9.761363636363637,11.272727272727273,9.013636363636364,9.745454545454546,10.636363636363637,8.981818181818182,9.936363636363637,11.590909090909092,4.836363636363636,7.731818181818182,9.227272727272727,6.65,7.668181818181818,9.60909090909091,8.018181818181818,7.636363636363637,9.290909090909091,8.377272727272727,10.413636363636364,12.227272727272727,9.681818181818182,10.731818181818182,11.75,9.013636363636364,10.636363636363637,11.940909090909091,9.645454545454545,11.681818181818182,13.781818181818181,10.727272727272727,11.618181818181819,13.177272727272728,11.045454545454545,11.602272727272727,13.590909090909092
38,2007.0,,,,,8.3,9.75,11.333333333333334,8.966666666666667,9.733333333333333,10.666666666666666,8.933333333333334,9.933333333333334,11.666666666666666,4.733333333333333,7.766666666666667,9.333333333333334,6.633333333333334,7.7,9.733333333333334,8.066666666666666,7.666666666666667,9.4,8.3,10.433333333333334,12.333333333333334,9.666666666666666,10.766666666666667,11.833333333333334,8.966666666666667,10.666666666666666,12.033333333333335,9.533333333333333,11.666666666666666,13.866666666666667,10.666666666666666,11.6,13.233333333333333,11.0,11.583333333333334,13.666666666666666
39,2008.0,,,,,8.222727272727273,9.738636363636363,11.393939393939394,8.91969696969697,9.72121212121212,10.696969696969697,8.884848484848485,9.93030303030303,11.742424242424242,4.630303030303031,7.801515151515152,9.43939393939394,6.616666666666667,7.7318181818181815,9.857575757575757,8.115151515151515,7.696969696969697,9.509090909090908,8.222727272727273,10.453030303030303,12.43939393939394,9.651515151515152,10.80151515151515,11.916666666666666,8.91969696969697,10.696969696969697,12.125757575757577,9.421212121212122,11.651515151515152,13.951515151515151,10.606060606060606,11.581818181818182,13.289393939393939,10.954545454545455,11.56439393939394,13.742424242424242
40,2009.0,,,,,8.145454545454545,9.727272727272727,11.454545454545455,8.872727272727273,9.709090909090909,10.727272727272727,8.836363636363636,9.927272727272728,11.818181818181818,4.527272727272727,7.836363636363637,9.545454545454545,6.6,7.763636363636364,9.98181818181818,8.163636363636364,7.7272727272727275,9.618181818181817,8.145454545454545,10.472727272727273,12.545454545454545,9.636363636363637,10.836363636363636,12.0,8.872727272727273,10.727272727272727,12.218181818181819,9.309090909090909,11.636363636363637,14.036363636363637,10.545454545454545,11.563636363636364,13.345454545454546,10.90909090909091,11.545454545454545,13.818181818181818
41,2010.0,,,,,8.068181818181818,9.715909090909092,11.515151515151516,8.825757575757576,9.696969696969697,10.757575757575758,8.787878787878787,9.924242424242424,11.893939393939394,4.424242424242424,7.871212121212121,9.651515151515152,6.583333333333333,7.795454545454545,10.106060606060606,8.212121212121211,7.757575757575758,9.727272727272727,8.068181818181818,10.492424242424242,12.651515151515152,9.621212121212121,10.871212121212121,12.083333333333332,8.825757575757576,10.757575757575758,12.310606060606062,9.196969696969697,11.621212121212121,14.121212121212121,10.484848484848484,11.545454545454545,13.40151515151515,10.863636363636363,11.526515151515152,13.893939393939394
42,2011.0,,,,,7.990909090909091,9.704545454545455,11.575757575757576,8.77878787878788,9.684848484848484,10.787878787878787,8.73939393939394,9.921212121212122,11.969696969696969,4.321212121212121,7.906060606060606,9.757575757575758,6.566666666666666,7.827272727272727,10.23030303030303,8.26060606060606,7.787878787878788,9.836363636363636,7.990909090909091,10.512121212121212,12.757575757575758,9.606060606060606,10.906060606060606,12.166666666666666,8.77878787878788,10.787878787878787,12.403030303030304,9.084848484848486,11.606060606060606,14.206060606060607,10.424242424242424,11.527272727272727,13.457575757575757,10.818181818181818,11.507575757575758,13.969696969696969
43,2012.0,,,,,7.913636363636364,9.693181818181818,11.636363636363637,8.731818181818182,9.672727272727272,10.818181818181818,8.690909090909091,9.918181818181818,12.045454545454545,4.218181818181819,7.940909090909091,9.863636363636363,6.55,7.859090909090909,10.354545454545455,8.309090909090909,7.818181818181818,9.945454545454545,7.913636363636364,10.531818181818181,12.863636363636363,9.590909090909092,10.940909090909091,12.25,8.731818181818182,10.818181818181818,12.495454545454546,8.972727272727273,11.590909090909092,14.290909090909091,10.363636363636363,11.50909090909091,13.513636363636364,10.772727272727273,11.488636363636363,14.045454545454545
