,Jahr,MO_RR_Jahr,RSK,MO_RR_Sommer,MO_RR_Winter,MO_RR_Jahr_RCP8.5_Minimum,MO_RR_Jahr_RCP8.5_Median,MO_RR_Jahr_RCP8.5_Maximum,MO_RR_Jahr_RCP4.5_Minimum,MO_RR_Jahr_RCP4.5_Median,MO_RR_Jahr_RCP4.5_Maximum,MO_RR_Jahr_RCP2.6_Minimum,MO_RR_Jahr_RCP2.6_Median,MO_RR_Jahr_RCP2.6_Maximum,MO_RR_Sommer_RCP8.5_Minimum,MO_RR_Sommer_RCP8.5_Median,MO_RR_Sommer_RCP8.5_Maximum,MO_RR_Sommer_RCP4.5_Minimum,MO_RR_Sommer_RCP4.5_Median,MO_RR_Sommer_RCP4.5_Maximum,MO_RR_Sommer_RCP2.6_Minimum,MO_RR_Sommer_RCP2.6_Median,MO_RR_Sommer_RCP2.6_Maximum,MO_RR_Winter_RCP8.5_Minimum,MO_RR_Winter_RCP8.5_Median,MO_RR_Winter_RCP8.5_Maximum,MO_RR_Winter_RCP4.5_Minimum,MO_RR_Winter_RCP4.5_Median,MO_RR_Winter_RCP4.5_Maximum,MO_RR_Winter_RCP2.6_Minimum,MO_RR_Winter_RCP2.6_Median,MO_RR_Winter_RCP2.6_Maximum,RSK_RCP8.5_Minimum,RSK_RCP8.5_Median,RSK_RCP8.5_Maximum,RSK_RCP4.5_Minimum,RSK_RCP4.5_Median,RSK_RCP4.5_Maximum,RSK_RCP2.6_Minimum,RSK_RCP2.6_Median,RSK_RCP2.6_Maximum
33,2005.0,,,,,753.36,782.9127272727272,814.5763636363637,766.7290909090909,780.8018181818181,795.3436363636364,751.4836363636364,776.1109090909091,794.64,194.00727272727272,206.92848484848486,224.89212121212122,192.99878787878788,208.81939393939393,211.9709090909091,194.76363636363635,206.2351515151515,219.21939393939394,191.92727272727274,200.2,217.21818181818182,191.63181818181818,199.31363636363636,204.86818181818182,191.21818181818182,196.65454545454546,204.75,225.6969696969697,231.33333333333334,236.33333333333334,229.39393939393938,231.63636363636363,233.72727272727272,228.6969696969697,231.9090909090909,235.12121212121212
34,2006.0,,,,,752.328,783.3583636363636,816.6051818181818,766.3655454545454,781.141909090909,796.4108181818182,750.3578181818182,776.2164545454546,795.672,193.30763636363636,206.87490909090909,225.73672727272728,192.24872727272728,208.86036363636364,212.16945454545453,194.10181818181817,206.14690909090908,219.78036363636363,191.77363636363637,200.46,218.3290909090909,191.4634090909091,199.52931818181818,205.36159090909092,191.0290909090909,196.73727272727274,205.2375,225.4318181818182,231.35,236.6,229.31363636363636,231.6681818181818,233.86363636363637,228.5818181818182,231.95454545454547,235.3272727272727
35,2007.0,,,,,751.296,783.804,818.634,766.002,781.482,797.478,749.232,776.322,796.704,192.608,206.82133333333334,226.58133333333333,191.49866666666665,208.90133333333333,212.368,193.44,206.05866666666665,220.34133333333332,191.62,200.72,219.44,191.295,199.745,205.855,190.84,196.82,205.725,225.16666666666666,231.36666666666667,236.86666666666667,229.23333333333332,231.7,234.0,228.46666666666667,232.0,235.53333333333333
36,2008.0,,,,,750.264,784.2496363636363,820.6628181818182,765.6384545454546,781.8220909090909,798.5451818181818,748.1061818181819,776.4275454545455,797.736,191.90836363636365,206.76775757575757,227.42593939393942,190.74860606060605,208.94230303030304,212.56654545454546,192.77818181818182,205.97042424242423,220.90230303030302,191.46636363636364,200.98,220.5509090909091,191.1265909090909,199.96068181818183,206.3484090909091,190.6509090909091,196.90272727272728,206.2125,224.90151515151516,231.38333333333333,237.13333333333333,229.1530303030303,231.73181818181817,234.13636363636363,228.35151515151514,232.04545454545453,235.73939393939395
37,2009.0,,,,,749.232,784.6952727272727,822.6916363636363,765.2749090909091,782.1621818181818,799.6123636363636,746.9803636363637,776.5330909090909,798.768,191.2087272727273,206.71418181818183,228.27054545454547,189.99854545454545,208.98327272727272,212.7650909090909,192.11636363636364,205.8821818181818,221.46327272727274,191.31272727272727,201.24,221.66181818181818,190.95818181818183,200.17636363636365,206.84181818181818,190.4618181818182,196.98545454545456,206.7,224.63636363636363,231.4,237.4,229.07272727272726,231.76363636363635,234.27272727272728,228.23636363636365,232.0909090909091,235.94545454545454
38,2010.0,,,,,748.2,785.1409090909091,824.7204545454546,764.9113636363636,782.5022727272727,800.6795454545454,745.8545454545455,776.6386363636364,799.8,190.5090909090909,206.66060606060606,229.11515151515152,189.24848484848485,209.02424242424243,212.96363636363637,191.45454545454544,205.79393939393938,222.02424242424243,191.1590909090909,201.5,222.77272727272728,190.78977272727272,200.39204545454547,207.33522727272728,190.27272727272728,197.0681818181818,207.1875,224.37121212121212,231.41666666666666,237.66666666666666,228.99242424242425,231.79545454545453,234.4090909090909,228.12121212121212,232.13636363636363,236.15151515151516
39,2011.0,,,,,747.168,785.5865454545454,826.7492727272728,764.5478181818181,782.8423636363636,801.7467272727273,744.7287272727273,776.7441818181818,800.832,189.80945454545454,206.6070303030303,229.95975757575758,188.49842424242422,209.0652121212121,213.1621818181818,190.79272727272726,205.70569696969696,222.58521212121212,191.00545454545454,201.76,223.88363636363636,190.62136363636364,200.6077272727273,207.82863636363635,190.08363636363637,197.1509090909091,207.675,224.1060606060606,231.43333333333334,237.93333333333334,228.9121212121212,231.8272727272727,234.54545454545453,228.0060606060606,232.1818181818182,236.35757575757575
40,2012.0,,,,,746.136,786.0321818181818,828.7780909090909,764.1842727272727,783.1824545454546,802.8139090909091,743.6029090909091,776.8497272727273,801.864,189.10981818181818,206.55345454545454,230.80436363636363,187.74836363636362,209.10618181818182,213.36072727272727,190.13090909090909,205.61745454545454,223.14618181818182,190.85181818181817,202.02,224.99454545454546,190.45295454545453,200.8234090909091,208.32204545454545,189.89454545454547,197.23363636363638,208.1625,223.8409090909091,231.45,238.2,228.83181818181816,231.8590909090909,234.6818181818182,227.8909090909091,232.22727272727272,236.56363636363636
41,2013.0,,,,,745.104,786.4778181818182,830.8069090909091,763.8207272727273,783.5225454545455,803.8810909090909,742.477090909091,776.9552727272727,802.896,188.41018181818183,206.4998787878788,231.64896969696971,186.99830303030302,209.1471515151515,213.5592727272727,189.4690909090909,205.5292121212121,223.7071515151515,190.69818181818184,202.28,226.10545454545453,190.28454545454545,201.0390909090909,208.81545454545454,189.70545454545456,197.31636363636363,208.65,223.57575757575756,231.46666666666667,238.46666666666667,228.75151515151515,231.89090909090908,234.8181818181818,227.77575757575758,232.27272727272728,236.76969696969698
42,2014.0,,,,,744.072,786.9234545454545,832.8357272727272,763.4571818181818,783.8626363636364,804.9482727272728,741.3512727272728,777.0608181818181,803.928,187.71054545454547,206.44630303030303,232.49357575757577,186.24824242424242,209.18812121212122,213.75781818181818,188.80727272727273,205.4409696969697,224.2681212121212,190.54454545454547,202.54,227.21636363636364,190.11613636363637,201.25477272727272,209.30886363636364,189.51636363636365,197.39909090909092,209.13750000000002,223.31060606060606,231.48333333333332,238.73333333333332,228.6712121212121,231.92272727272726,234.95454545454547,227.66060606060606,232.3181818181818,236.97575757575757
