,Jahr,MO_TT,MO_TX,MO_TN,MO_RR,MO_TT_RCP8.5_Minimum,MO_TT_RCP8.5_Median,MO_TT_RCP8.5_Maximum,MO_TT_RCP4.5_Minimum,MO_TT_RCP4.5_Median,MO_TT_RCP4.5_Maximum,MO_TT_RCP2.6_Minimum,MO_TT_RCP2.6_Median,MO_TT_RCP2.6_Maximum
53,2020.0,,,,,10.583333333333334,10.954545454545455,11.484848484848484,10.371212121212121,10.742424242424242,11.325757575757576,10.15909090909091,10.636363636363637,11.007575757575758
54,2021.0,,,,,10.6,10.981818181818182,11.527272727272727,10.381818181818181,10.763636363636364,11.363636363636363,10.163636363636364,10.654545454545454,11.036363636363637
55,2022.0,,,,,10.616666666666667,11.00909090909091,11.56969696969697,10.392424242424243,10.784848484848485,11.401515151515152,10.168181818181818,10.672727272727272,11.065151515151516
56,2023.0,,,,,10.633333333333333,11.036363636363637,11.612121212121213,10.403030303030302,10.806060606060607,11.43939393939394,10.172727272727274,10.690909090909091,11.093939393939394
57,2024.0,,,,,10.65,11.063636363636364,11.654545454545454,10.413636363636364,10.827272727272728,11.477272727272727,10.177272727272728,10.709090909090909,11.122727272727273
58,2025.0,,,,,10.666666666666666,11.090909090909092,11.696969696969697,10.424242424242424,10.848484848484848,11.515151515151516,10.181818181818182,10.727272727272727,11.151515151515152
59,2026.0,,,,,10.683333333333334,11.118181818181819,11.73939393939394,10.434848484848484,10.86969696969697,11.553030303030303,10.186363636363637,10.745454545454544,11.18030303030303
60,2027.0,,,,,10.7,11.145454545454546,11.781818181818181,10.445454545454545,10.89090909090909,11.590909090909092,10.190909090909091,10.763636363636364,11.209090909090909
61,2028.0,,,,,10.716666666666667,11.172727272727274,11.824242424242424,10.456060606060605,10.912121212121212,11.628787878787879,10.195454545454545,10.781818181818181,11.237878787878788
62,2029.0,,,,,10.733333333333333,11.200000000000001,11.866666666666667,10.466666666666667,10.933333333333334,11.666666666666666,10.200000000000001,10.799999999999999,11.266666666666667
63,2030.0,,,,,10.75,11.227272727272728,11.90909090909091,10.477272727272727,10.954545454545455,11.704545454545455,10.204545454545455,10.818181818181818,11.295454545454545
64,2031.0,,,,,10.766666666666666,11.254545454545454,11.951515151515151,10.487878787878788,10.975757575757576,11.742424242424242,10.209090909090909,10.836363636363636,11.324242424242424
65,2032.0,,,,,10.783333333333333,11.281818181818181,11.993939393939394,10.498484848484848,10.996969696969698,11.780303030303031,10.213636363636365,10.854545454545454,11.353030303030303
66,2033.0,,,,,10.8,11.309090909090909,12.036363636363637,10.509090909090908,11.01818181818182,11.818181818181818,10.218181818181819,10.872727272727271,11.381818181818183
67,2034.0,,,,,10.816666666666666,11.336363636363636,12.078787878787878,10.51969696969697,11.039393939393939,11.856060606060606,10.222727272727273,10.89090909090909,11.41060606060606
68,2035.0,,,,,10.833333333333334,11.363636363636363,12.121212121212121,10.53030303030303,11.06060606060606,11.893939393939394,10.227272727272728,10.909090909090908,11.43939393939394
69,2036.0,,,,,10.85,11.39090909090909,12.163636363636364,10.540909090909091,11.081818181818182,11.931818181818182,10.231818181818182,10.927272727272726,11.468181818181819
70,2037.0,,,,,10.866666666666667,11.418181818181818,12.206060606060607,10.55151515151515,11.103030303030303,11.969696969696969,10.236363636363636,10.945454545454545,11.496969696969698
71,2038.0,,,,,10.883333333333333,11.445454545454545,12.24848484848485,10.56212121212121,11.124242424242425,12.007575757575758,10.240909090909092,10.963636363636363,11.525757575757575
72,2039.0,,,,,10.9,11.472727272727273,12.290909090909091,10.572727272727272,11.145454545454546,12.045454545454545,10.245454545454546,10.98181818181818,11.554545454545455
73,2040.0,,,,,10.916666666666666,11.5,12.333333333333334,10.583333333333332,11.166666666666668,12.083333333333334,10.25,11.0,11.583333333333334
74,2041.0,,,,,10.933333333333334,11.527272727272727,12.375757575757577,10.593939393939394,11.187878787878788,12.121212121212121,10.254545454545456,11.018181818181818,11.612121212121213
75,2042.0,,,,,10.95,11.554545454545455,12.418181818181818,10.604545454545454,11.209090909090909,12.15909090909091,10.25909090909091,11.036363636363635,11.64090909090909
76,2043.0,,,,,10.966666666666667,11.581818181818182,12.460606060606061,10.615151515151515,11.23030303030303,12.196969696969697,10.263636363636364,11.054545454545455,11.66969696969697
77,2044.0,,,,,10.983333333333333,11.60909090909091,12.503030303030304,10.625757575757575,11.251515151515152,12.234848484848484,10.26818181818182,11.072727272727272,11.69848484848485
78,2045.0,,,,,11.0,11.636363636363637,12.545454545454547,10.636363636363635,11.272727272727273,12.272727272727273,10.272727272727273,11.09090909090909,11.727272727272727
79,2046.0,,,,,11.016666666666666,11.663636363636364,12.587878787878788,10.646969696969697,11.293939393939395,12.31060606060606,10.277272727272727,11.10909090909091,11.756060606060606
80,2047.0,,,,,11.033333333333333,11.690909090909091,12.63030303030303,10.657575757575756,11.315151515151516,12.348484848484848,10.281818181818183,11.127272727272727,11.784848484848485
81,2048.0,,,,,11.05,11.718181818181819,12.672727272727274,10.668181818181818,11.336363636363636,12.386363636363637,10.286363636363637,11.145454545454545,11.813636363636364
82,2049.0,,,,,11.066666666666666,11.745454545454546,12.715151515151515,10.678787878787878,11.357575757575757,12.424242424242424,10.290909090909091,11.163636363636362,11.842424242424244
83,2050.0,,,,,11.083333333333332,11.772727272727273,12.757575757575758,10.68939393939394,11.378787878787879,12.462121212121213,10.295454545454547,11.181818181818182,11.871212121212121
84,2051.0,,,,,11.1,11.8,12.8,10.7,11.4,12.5,10.3,11.2,11.9
85,2052.0,,,,,11.139393939393939,11.842424242424244,12.860606060606061,10.718181818181817,11.418181818181818,12.518181818181818,10.3,11.196969696969695,11.893939393939394
